source1_entity_id	matched_entity_ids
S1-777210964	S2-12029274,S2-407524980,S3-970714334,S3-712922821
S1-190133982	S2-523219173,S3-716445195,S3-986804760
S1-970131671	S2-670035601,S3-392756625
S1-391999301	S2-742819060,S2-339356009,S2-233734305,S3-938838849,S3-99519749
S1-435988542	S2-500704398
S1-351020560	S2-907008976,S3-943702663,S3-503506440,S3-27236093
S1-353020204	S2-403125820,S2-482586584,S3-740655592,S3-701336150
S1-374388852	S2-509116615,S3-913638566
S1-793615008	S2-102911781,S2-942337168,S2-875327982,S3-276503007,S3-154593156
S1-339384180	S2-763394237,S3-162797226,S3-914554628
S1-83174673	S2-348030512,S3-755114994,S3-444196916,S3-130505638
S1-350092923	S2-358229894,S2-910624268,S3-662458828
S1-665522603	S3-813562861
S1-200723243	S2-952851011,S2-788224506,S2-221988027,S2-621477890,S3-153417633,S3-234128350
S1-46329934	S2-704697535,S2-604099225,S2-975202599,S3-688076126,S3-175132143
S1-957340511	S2-363608755,S2-326291497,S2-971669168,S3-603047654,S3-917953818
S1-661807190	S2-7657580,S2-372634346,S2-414241629,S2-240792458,S2-651471068,S3-106044387,S3-306328111,S3-182045112
S1-670305710	S2-892615832,S3-524974871
S1-691615940	S2-748691171,S3-397491565,S3-955477709
S1-116292005	S2-190403429,S2-352866222,S2-807647266,S3-491460140,S3-703236777,S3-903695330
S1-365046346	S2-945105765,S2-517483574,S2-768210231,S3-651020082
S1-631976101	S2-944410437
S1-664752852	S2-5814053,S3-494612950,S3-708404310,S3-124904830
S1-716717325	S2-433164325,S2-686400156
S1-917688015	S2-118644964,S3-417520978,S3-633243555
S1-476955207	S2-972516303,S2-7566950,S2-124302100,S3-789775319
S1-4382837	S2-562887227,S2-517519668,S2-198726559,S3-48446318
S1-461958135	S3-675612540,S3-125659507,S3-258979711
S1-19650681	S2-991556619,S2-263459608,S2-350108285,S3-650501674
S1-572186351	S3-978491801,S3-475374909,S3-584549231
S1-640240542	S2-34840844,S2-729354038,S2-605976812,S2-941429313,S2-768398229,S3-27701680
S1-156157364	S2-901286769,S3-471736729
S1-712708889	S2-299164733,S2-18897662,S3-418677516,S3-739718106,S3-634875131
S1-671346366	S2-868658492,S2-363525059,S3-383919263,S3-248297853,S3-535510201
S1-759562098	S2-161044655,S3-198293329,S3-524636168
S1-332767604	S2-965442097,S2-829442781,S2-198524157,S2-394268066,S3-440786429,S3-87785442
S1-981593689	S2-858193357,S2-959907396
S1-359369117	S2-701861284,S2-357687512,S3-215293918
S1-354889538	S2-334019354,S2-405677992,S2-631087818,S3-785969699
S1-354563783	S2-41073407,S2-139554318,S2-519806810,S2-121035724,S2-137658994,S3-465014444
S1-199335168	S2-586509695,S2-176314669,S3-305631623,S3-273913097,S3-273182727
S1-491000076	S2-193933459,S3-633780653
S1-281610105	S2-44014772,S2-749595501,S3-561270232,S3-479621383,S3-142773697
S1-647547897	S2-853143460,S2-896461354,S2-554846016,S3-230211871
S1-441655063	S2-951619538,S2-591717705,S2-904896126,S2-544023231,S2-197107828
S1-548679969	S2-544535752,S2-614824581,S3-685004187,S3-834011814,S3-176356932
S1-732252654	S2-783535423,S2-412251378,S2-970849995,S3-33731945
S1-500151913	S2-598791675,S3-503089864
S1-387663358	S2-896700091,S3-580474124
S1-449306864	S2-607008616,S2-635513056,S3-535057563,S3-285394589
S1-67184666	S2-724506827,S2-243574627,S3-830067306,S3-377551819,S3-60959987,S3-909121794
S1-186995534	S2-625212533,S3-765700213,S3-650500042
S1-916542392	S2-137719503,S3-961712303,S3-282309817,S3-156311976,S3-897143503
S1-89282797	S2-891402553,S3-285566225,S3-375539033,S3-7372333,S3-642502568
S1-412087365	S3-703677453,S3-9199395,S3-670711982,S3-88895770,S3-906491267
S1-333449389	S2-306494617,S2-570725952,S2-135340534,S3-737543666,S3-528065029
S1-466346556	S2-620586860,S2-505848764,S3-917906951,S3-484396916,S3-737630368,S3-485240976
S1-526135639	S2-181399187,S3-251640233
S1-870244834	S2-624049107,S2-87950807,S3-953911625,S3-150585361,S3-131576795
S1-372838458	S2-380783129,S2-889077446
S1-786487726	S2-846345678,S2-938115929
S1-923236940	S2-97345691,S2-223439532,S2-194358353,S2-723615427,S3-685680002,S3-20280355
S1-93926066	S2-55167449,S2-348416163,S2-108959754,S3-350448069,S3-608862225,S3-156364994
S1-295398775	S2-822448179,S2-664242876,S2-390962682,S3-350753073
S1-571004885	S2-434751720,S3-204192101,S3-714238060,S3-950784712
S1-899683274	S2-212916025,S2-595342995,S3-574412879
S1-155361550	S2-702980604,S2-432578505
S1-997628666	S2-906336676,S2-37915840,S3-989772113
S1-394011152	S2-436946851,S3-14858756,S3-908821350
S1-670119172	S2-608589819,S2-900627715,S3-239871146,S3-190182435
S1-866544288	S2-861759024,S3-725235386
S1-459798887	S2-816287816,S3-197082864,S3-599469767,S3-807580876
S1-12554179	S2-283034401,S2-263064661,S2-398016982
S1-704623918	S2-437201022,S2-64754013,S3-151231809
S1-826085565	S2-69491551,S2-462148816,S3-96577433
S1-77155375	S2-838801290,S2-797099823,S3-826470499,S3-649312725,S3-788778160
S1-741722864	S2-924082921,S3-690435139,S3-404338542,S3-330380915
S1-20062520	S2-505890771,S3-650994508,S3-612765588
S1-757018393	S2-323826434,S3-976069257,S3-236461288,S3-914099847
S1-938338283	S2-638893609,S2-352101577,S3-272809343
S1-677193140	S2-29192141,S2-852280731,S3-652515671,S3-805699381,S3-149538758,S3-911967637
S1-643443638	S2-526735158,S2-347892797,S3-220174380
S1-464974641	S2-153950533,S3-831485145
S1-221212214	S2-578220776,S2-186308719
S1-492670902	S2-364906471,S2-530111693,S3-375414820
S1-784017016	S3-300333418,S3-948307138,S3-625392851,S3-22858953
S1-782734433	S2-609366455,S2-317096646,S2-542083228,S2-31561982,S2-508961118,S3-207385893,S3-139521656
S1-315171811	S2-381666259,S2-72156421,S2-185764297,S2-751206865,S2-561604054,S3-737890146
S1-92494157	S2-629235320,S3-625632795,S3-611865286
S1-134755367	S2-214030604,S3-622208835
S1-380308502	S3-312627427
S1-527148562	S2-509391343,S2-927105480,S2-990023929,S3-602162798
S1-342352922	S2-950617428,S3-909891057,S3-149561744
S1-65212889	S2-270698824,S3-307682991,S3-95127321,S3-842128402
S1-574333023	S2-441818910
S1-861658996	S2-919462206
S1-446003805	S2-809440879,S2-122775303,S2-679028360,S3-609166608,S3-495976304,S3-543716797
S1-119038018	S2-14284306,S2-101747831,S2-509225075,S2-558509921,S3-909098448,S3-590899769,S3-61327187
S1-925657592	S2-440413949,S3-652698763,S3-765867523
S1-876625968	S2-55629491,S3-918914143,S3-940463762
S1-872140900	S2-502481708,S3-502872791,S3-179461596,S3-116468364,S3-969022966
S1-621252369	S2-663154228,S2-967233122,S2-165195094,S2-104786839,S2-561689276,S3-263796652,S3-172175900,S3-53398088
S1-241504618	S2-829502676,S2-916585467,S3-481188031,S3-278800273,S3-275966255
S1-618751713	S2-787960435,S3-810495476
S1-999013499	S2-689940798,S2-4702910,S3-283541327
S1-819204801	S2-923887619,S3-692987950,S3-139262287,S3-622387993
S1-564682778	S2-973977753,S2-204554700,S3-949197127,S3-159219188,S3-198777214
S1-662836843	S2-586963633,S2-914884248,S3-644880921
S1-547778479	S2-912815767,S2-136366177,S3-900920408
S1-451851393	S2-407142982,S3-855659275,S3-436000
S1-431348789	S3-372702483,S3-511790640
S1-990026822	S2-657541389,S3-379864109
S1-700408112	S2-906102362,S3-798931087,S3-723920328,S3-769204952,S3-170880102,S3-661575538
S1-550452803	S2-414646663,S3-477976812
S1-485469727	S2-942401998,S2-891562994,S3-743775288,S3-846558711,S3-769452778
S1-103833541	S2-333324291,S2-581071655,S3-741932778,S3-461733293,S3-108918171,S3-393802091,S3-371735306
S1-562225034	S2-381998521,S3-971585197
S1-646625751	S2-472755101,S2-139253885,S3-645831157,S3-364029795,S3-453660042,S3-509916566,S3-488749455
S1-580103163	S2-512140859,S2-88733727,S3-462103485,S3-874041669
S1-864848726	S2-628478838,S2-529886358,S2-690499231,S2-208696906
S1-390296302	S2-996434069,S3-647323514
S1-553150887	S2-521284906,S2-181153213,S2-655700541,S2-938415624,S3-737880173
S1-136067167	S2-645228611,S3-646076591,S3-910173292,S3-429939919
S1-451915124	S2-911711833,S2-411899306,S3-645532094,S3-244247706,S3-170912119,S3-506764680
S1-609102019	S2-975076974,S2-610997751,S3-693016582,S3-785883482,S3-617268424
S1-483220993	S2-555662185,S3-598197353,S3-76187042
S1-839598738	S2-304207689,S3-404159975,S3-607369442
S1-683477702	S3-258740186,S3-923832336
S1-529931481	S2-687098651,S3-743819337
S1-364357198	S2-329805302,S2-575277551,S3-468525513,S3-887169151
S1-224874371	S2-846221461,S2-179872975,S2-229717785,S2-154926106
S1-54609128	S3-559833756,S3-663703398
S1-801017797	S2-266941785,S2-782985232,S2-488931251
S1-877878422	S2-657877656,S2-33859155,S2-647325328,S3-233359155
S1-843172679	S2-128812104
S1-116643890	S2-16946283,S2-363007628,S3-251940799
S1-733827795	S2-303187143,S2-938971563,S3-172916711,S3-79825361
S1-922295454	S2-876864094,S3-488494302,S3-188175052
S1-20463005	S2-621069228,S2-264348315,S2-563157677,S2-249962430,S3-675424442,S3-983355785,S3-174860504
S1-916203756	S2-943152419,S2-335287996,S2-247259392,S3-908847327,S3-295108538,S3-430432165
S1-827751387	S2-99839166,S3-325191665,S3-213967824
S1-38315331	S2-816704772,S3-368298694,S3-563118522,S3-690005322
S1-909132549	S2-125848432,S2-56113577,S2-638551481,S2-568955109,S3-423543341,S3-176725630
S1-854572359	S3-332801830,S3-557013619
S1-438969803	S2-621577890,S2-805148148,S3-442429174
S1-144105018	S2-983114731,S2-881495665,S3-898746104,S3-847882944,S3-943220543
S1-663319003	S2-90765543,S2-114138550
S1-179988355	S3-715923431,S3-84692113,S3-814183345
S1-110087772	S2-462533010,S3-158229247,S3-604554894
S1-173852392	S2-421111612,S3-898852050,S3-680402840
S1-336357570	S2-641754569,S3-596238636,S3-143829508
S1-770616001	S2-184385135,S2-927637163,S3-244487201
S1-973313870	S2-720119957,S3-890584090
S1-291689772	S2-43961885,S3-509594419
S1-845956965	S2-914732150,S3-195276105
S1-746239019	S2-500093587,S3-143284361
S1-183354029	S2-489503639,S2-646049239,S2-421617290,S3-662082016,S3-660446256,S3-449332082,S3-778810634
S1-290466869	S2-841457265,S3-44885829,S3-192595641
S1-115608838	S2-36314302,S2-129448750,S2-683348637,S3-104003305,S3-582807399,S3-68379930
S1-251355086	S3-592814717,S3-194840044,S3-66531425
S1-224355626	S2-828866160,S2-665557304,S2-834892688,S3-316988679
S1-865177426	S2-296374210,S2-540639725,S3-202239621
S1-165326442	S2-456739464,S3-507953941
S1-845749412	S2-142674026,S3-493949390
S1-443860148	S2-117985921,S2-803724401,S2-354888914,S2-549746566
S1-227971726	S3-195004170,S3-952905137
S1-184295033	S2-531369725,S2-175451280,S3-137546565,S3-421323099,S3-848363360
S1-870178913	S2-480930215,S2-480552116,S2-504892554,S3-393911108,S3-446046547
S1-98096639	S3-730298847,S3-964621780,S3-16284988
S1-973379710	S2-561803999,S2-317453612,S2-371341338,S3-97779893,S3-250745775
S1-408908283	S2-773474690,S3-95117240
S1-532163063	S2-294108422,S3-375905155,S3-138136021
S1-744937610	S2-105444602,S2-587017457,S3-961053752
S1-259471284	S2-928470717,S2-951099563,S3-331879186
S1-402575333	S2-953413124,S2-112339454,S3-506357567,S3-874948421,S3-974030908
S1-24370948	S2-33614696,S2-8541135,S2-85665807,S3-334606148
S1-14700991	S2-561336310,S2-499403396,S3-28971635,S3-227673203
S1-986321350	S3-816108881
S1-416359861	S2-69715454,S2-681499079,S3-937842667,S3-68633941
S1-972175050	S2-212606631,S2-232304019,S2-463165344
S1-371090697	S2-949112680,S3-588518862,S3-376191303,S3-820296680,S3-539960809
S1-139362523	S2-277852637,S2-37729470,S3-896734370
S1-310654343	S2-724170944,S2-160067551,S3-764167858
S1-262944527	S2-446475258,S2-628486356,S3-865395865,S3-278489529,S3-366996711,S3-812953349,S3-74395031
S1-465977901	S2-259819651,S3-633595931
S1-309507079	S2-242032003,S2-341681461,S2-604903991,S3-575772735,S3-850550589
